ts,cpu,mem,disk,bytes_sent,bytes_recv
1762362273,12.9,88.8,58.6,23945,0
1762362278,14.2,88.0,58.6,23945,0
1762362283,34.9,89.1,58.6,23945,0
1762362288,20.0,88.7,58.6,23945,0
1762362294,33.9,87.1,58.6,23945,0
1762362299,24.7,87.1,58.6,23945,0
1762362304,26.0,86.2,58.6,23945,0
1762362309,36.8,85.3,58.6,23945,0
1762362314,23.7,85.1,58.6,23945,0
1762362319,23.7,84.9,58.6,23945,0
1762362324,22.7,84.8,58.6,23945,0
1762362329,32.1,89.3,58.6,23945,0
1762362334,35.3,86.5,58.6,23945,0
1762362339,62.2,86.3,58.6,57887,32622
1762362344,31.5,86.4,58.6,107206,87696
1762362349,25.6,86.5,58.6,188692,186022
1762362354,34.1,87.7,58.6,273931,356665
1762362359,23.4,87.4,58.6,294191,388031
1762362364,20.3,86.9,58.6,345850,427993
1762362369,17.1,86.8,58.6,358028,459098
1762362374,36.9,86.7,58.6,616440,545035
1762362379,48.3,89.7,58.6,920008,808912
1762362384,29.1,90.5,58.6,1129233,1394758
1762362389,26.7,90.7,58.6,1148706,1399087
1762362394,40.7,90.7,58.6,1235288,1426050
1762362399,25.0,90.5,58.6,1243769,1463310
1762362404,41.3,87.6,58.6,1291437,1515994
1762362409,25.3,87.7,58.6,1322353,1561049
1762362414,26.6,87.4,58.6,1323753,1563480
1762362419,26.4,87.4,58.6,1341783,1581870
1762362424,75.4,90.6,58.6,1349380,1590794
1762362429,36.5,88.8,58.6,1352414,1606369
1762362434,48.9,85.2,58.6,1356750,1652048
1762362439,30.2,85.6,58.6,1360968,1680695
1762362444,36.5,85.8,58.6,1392897,1744699
1762362449,32.1,85.9,58.6,1413813,1804613
1762362454,34.9,86.1,58.6,1428502,1849665
1762362459,47.9,85.2,58.6,1459203,2323704
1762362464,34.9,86.4,58.6,1467766,2370552
1762362469,32.8,87.0,58.6,1477937,2394736
1762362475,33.3,84.8,58.6,1482308,2439008
1762362480,33.8,85.7,58.6,1485565,2465538
1762362485,35.5,86.6,58.6,1490150,2481445
1762362490,30.0,87.0,58.6,1498098,2521622
1762362495,30.3,87.3,58.6,1502391,2560725
1762362500,29.5,87.8,58.6,1515276,2600903
1762362505,32.7,88.4,58.6,1519917,2633918
1762362510,30.5,88.9,58.6,1523841,2673038
1762362515,30.9,89.3,58.6,1524751,2677171
1762362520,43.7,86.5,58.6,1525280,2677938
1762362525,29.0,86.5,58.6,1544281,2703268
1762362530,63.0,86.9,58.6,1586719,3603059
1762362535,36.0,86.9,58.6,1587082,3603499
1762362540,30.0,86.7,58.6,1591399,3609235
1762362545,28.9,86.6,58.6,1591784,3609712
